id,sloka(iast),translation
1203,grāmyābjānūpaṃ piśitamabalaṃ śuṣkaśākaṃ navānnaṃ  gauḍaṃ piṣṭānnaṃ dadhi tilakṛtaṃ [5] vijjalaṃ [6] madyamamlam|  dhānā vallūraṃ samaśanamatho gurvasātmyaṃ vidāhi  svapnaṃ cārātrau śvayathugadavān varjayenmaithunaṃ ca||20||,"Meat of domestic, aquatic and wet-land animals or weak animals; dry vegetables, fresh grains, molasses, fine flour products, curd, products of sesame, slimy and sour food articles, wine, roasted barley, dried meat, samashana (taking of mixture of wholesome and unwholesome food), taking of unwholesome, heavy and irritant diet articles, day sleep and sexual acts should be avoided by the patient of edema/swelling [20]"
1204,vyoṣaṃ trivṛttiktakarohiṇī ca sāyorajaskā triphalārasena|  pītaṃ kaphotthaṃ śamayettu śophaṃ gavyena mūtreṇa harītakī ca||21||,"Mixture of powders of trikatu, trivrit, katuka and lauha-bhasma taken with juice of triphala; or haritaki powder taken by mixing with cow’s urine relieves kapha edema/swelling [21]"
1205,harītakīnāgaradevadāru sukhāmbuyuktaṃ sapunarnavaṃ vā|  sarvaṃ pibettriṣvapi mūtrayuktaṃ snātaśca jīrṇe payasā'nnamadyāt||22||,"Mixture of haritaki, dried ginger and devadaru taken with lukewarm water, or punarnava mixed with all the above drugs taken with cow‘s urine relieves swelling produced by all the three dosha. On digestion of the drug and after taking bath, the patient should take food with milk [22]"
1206,punarnavānāgaramustakalkān prasthena dhīraḥ payasā'kṣamātrān|  mayūrakaṃ māgadhikāṃ samūlāṃ sanāgarāṃ vā prapibet savāte||23||,"The 500 ml of milk prepared with paste of 10 gm each punarnava, dried ginger and mustaka; or milk prepared with mayuraka, pippalimula and dried ginger taken orally relieves swelling due to vata [23]"
1207,dantītrivṛttryūṣaṇacitrakairvā payaḥ śṛtaṃ doṣaharaṃ pibennā|  dviprasthamātraṃ tu palārdhikaistairardhāvaśiṣṭaṃ pavane sapitte||24||,"One liter of milk prepared with 20 gm each of danti, trivrit, trikatu and chitraka added with one liter of water reduced to half, taken orally relieves edema caused by combination of vata and pitta [24]"
1208,saśuṇṭhipītadrurasaṃ prayojyaṃ śyāmorubūkoṣaṇasādhitaṃ vā|  tvagdāruvarṣābhumahauṣadhairvā guḍūcikānāgaradantibhirvā||25||,"Milk prepared with dry ginger and daruharidra or prepared with shyama, castor root and black pepper, or prepared with cinnamon, devadaru, punarnava and dry ginger; or prepared with guduchi, dry ginger and danti; taken orally relieves edema [25]"
1209,saptāhamauṣṭraṃ tvathavā'pi māsaṃ payaḥ pibedbhojanavārivarjī|  gavyaṃ samūtraṃ mahiṣīpayo vā kṣīrāśano mūtramatho gavāṃ vā||26||,"The patient by avoiding all other food and drinks if remains only on camel’s milk for a week or month or similarly remains on cow’s milk mixed with equal quantity of cow’s urine or on buffalo’s milk mixed with an equal quantity of cow’s urine or other milk with cow’s urine, then edema is cured [26]"
1210,takraṃ pibedvā gurubhinnavarcāḥ savyoṣasauvarcalamākṣikaṃ ca|  guḍābhayāṃ vā guḍanāgaraṃ vā sadoṣabhinnāmavibaddhavarcāḥ||27||,"Patient of edema if passes heavy (with mucous) and loose stools may drink butter milk mixed with trikatu, sauvarchala-salt and honey; or if the stool is morbid, loose, with ama or hard stool, then jaggery and haritaki or jaggery with dry ginger are given [27]"
1211,viḍvātasaṅge payasā rasairvā prāgbhaktamadyādurubūkatailam [7] |  srotovibandhe'gnirucipraṇāśe madyānyariṣṭāṃśca pibet sujātān||28||,"If there is retention of feces and flatus, the patient may be given castor oil with milk or with meat-soup before meal; and if there is occlusion of channels or loss of digestion power and appetite, then the patient may be given simple or medicated wines [28]"
1212,gaṇḍīrabhallātakacitrakāṃśca vyoṣaṃ viḍaṅgaṃ bṛhatīdvayaṃ ca|  dviprasthikaṃ gomayapāvakena droṇe pacet kūrcikamastunastu [8] ||29||  tribhāgaśeṣaṃ ca supūtaśītaṃ droṇena tat prākṛtamastunā ca|  sitopalāyāśca śatena yuktaṃ lipte ghaṭe citrakapippalīnām||30||  vaihāyase sthāpitamādaśāhāt prayojayaṃstadvinihanti śophān|  bhagandarārśaḥkrimikuṣṭhamehān vaivarṇyakārśyānilahikkanaṃ ca||31||  iti gaṇḍīrādyariṣṭaḥ,"Take 1.280 Kg of gandeera, bhallataka, chitraka, trikatu, vidnaga, kantakari and brihati and add 1.024 Kg of kurchika-mastu (prepared by adding hot water in curd) and boil on cow-dung fire till one-third remains and then filter. On cooling add to it 1.024 Kg natural-mastu (prepared by adding water in curd), 4 kg of sugar-candy and put in a pitcher lined with paste of chitraka and pippali and leave this pot at a high-open place for 10 days for fermentation to prepare arishta.   Oral administration of gandeeradyarishtha cures edema, fistula-in-ano, piles, helminthiasis, kushtha(obstinate skin diseases), polyuria, discoloration, emaciation and hiccup due to vata. Thus gandeeradyarishtha is described [29-31]"
1213,kāśmaryadhātrīmaricābhayākṣadrākṣāphalānāṃ [9] ca sapippalīnām|  śataṃ śataṃ jīrṇaguḍāttulāṃ [10] ca saṅkṣudya kumbhe madhunā pralipte||32||  saptāhamuṣṇe dviguṇaṃ tu śīte sthitaṃ jaladroṇayutaṃ pibennā|  śophān vibandhān kaphavātajāṃśca nihantyariṣṭo'ṣṭaśato'gnikṛcca||33||  ityaṣṭaśato'riṣṭaḥ,"Take 100 pala each of kashmarya, amalaki, black pepper, haritaki, vibhitaki, pippali and grapes, add to it 100 pala of old jaggery and two drona of water, then put the mixture in a vessel lined with honey for 7 days in summer or for 14 days in winter for fermentation. Thus fermented asava is known as ashtashato-arishtha. Its oral administration cures edema and constipation due to kapha and vata and stimulates digestion and metabolism (agni). Thus ashthato-arishta is described [32-33]"
1214,punarnave dve ca bale sapāṭhe dantīṃ [11] guḍūcīmatha citrakaṃ ca|  nidigdhikāṃ ca tripalāni paktvā droṇāvaśeṣe salile tatastam||34||  pūtvā rasaṃ dve ca guḍāt purāṇāttule madhuprasthayutaṃ suśītam|  māsaṃ nidadhyādghṛtabhājanasthaṃ palle yavānāṃ paratastu māsāt||35||  cūrṇīkṛtairardhapalāṃśikaistaṃ patratvagelāmaricāmbulohaiḥ [12] |  gandhānvitaṃ kṣaudraghṛtapradigdhe jīrṇe pibed vyādhibalaṃ samīkṣya||36||,"Punarnavadi arishta : Make a decoction of 120 gm each of two types of punarnavā, balā, pāṭhā, dantī, guḍūchī, chitraka, kantakāri and triphalā by adding water (about 4.1 liters) and reducing it to 1.024 liter. Add to this decoction 8 kg of jaggery and 640 gm of honey and keep it in a vessel lined with ghee and place it in a heap of barley for a month. Thereafter to make it fragrant, add 20 gm powders each of tejapatra, cinnamon, cardamom, black pepper, couscous and iron bhasma and store in a pot lined with honey and ghee. It is to be taken after the digestion of the meal in a dose according to the strength of the disease. In diet, food with meat soup may be given.  "
1215,hṛtpāṇḍurogaṃ śvayathuṃ pravṛddhaṃ plīhajvarārocakamehagulmān|  bhagandaraṃ ṣaḍjaṭharāṇi kāsaṃ śvāsaṃ grahaṇyāmayakuṣṭhakaṇḍūḥ||37||  śākhānilaṃ baddhapurīṣatāṃ ca hikkāṃ kilāsaṃ ca halīmakaṃ ca|  kṣipraṃ jayedvarṇabalāyurojastejonvito māṃsarasānnabhojī||38||  iti punarnavādyariṣṭaḥ,"Administration of this Punarnavadi arishta provides quick cure in heart disease, anemia, severe edema, splenic disorders, fever, anorexia, polyuria, gulma, fistula-in-ano, six types of udararoga, cough, dyspnea, assimilation disorders (grahani), dermatosis (kushtha), pruritis, vata disorders of limbs, constipation, hiccup, leukoderma and halimaka (greenish coloration of skin). It also improves complexion, strength, ojas and vitality. Thus punarnavadi arishta is described [34-38]"
1216,phalatrikaṃ dīpyakacitrakau ca sapippalīloharajo viḍaṅgam|  cūrṇīkṛtaṃ kauḍavikaṃ dviraṃśaṃ kṣaudraṃ purāṇasya tulāṃ guḍasya||39||  māsaṃ nidadhyādghṛtabhājanasthaṃ yaveṣu tāneva nihanti rogān|  ye cārśasāṃ pāṇḍuvikāriṇāṃ ca proktā hitāḥ śophiṣu te'pyariṣṭāḥ||40||  iti triphalādyariṣṭaḥ,"Make decoction from the coarse powder of 160 gm each of triphala, ajawan, chitraka, pippali, iron bhasma and vidanga. To this decoction add 320 ml of honey and 4 kg of jaggery and put it in a vessel lined with ghee and place in a heap of barley for a month. Its oral administration cures all the diseases mentioned above. Thus triphaladyarishtha is described.  The asava and arishtha mentioned for the treatment of piles and anemia are also beneficial for relieving the edema [39-40]"
1217,kṛṣṇā sapāṭhā gajapippalī ca nidigdhikā citrakanāgare ca|  sapippalīmūlarajanyajājīmustaṃ ca cūrṇaṃ sukhatoyapītam||41||  hanyāttridoṣaṃ cirajaṃ ca śophaṃ kalkaśca bhūnimbamahauṣadhasya|  ayorajastryūṣaṇayāvaśūkacūrṇaṃ ca pītaṃ triphalārasena||42||,"Use of any one of the following powder preparations cures chronic edema caused by all the three dosha:  The mixture of the powders of pippali, pippalimula, pāthā, gajapippali, cumin, kantakāri, chitraka, dried ginger, turmeric, cumin and mustaka taken with lukewarm water, or paste of bhumyāmalaki and dried ginger taken with lukewarm water or  bhasma of iron, trikatu and yavakshara taken with decoction of triphala [41-42]"
1218,kṣāradvayaṃ syāllavaṇāni catvāryayorajo vyoṣaphalatrike ca|  sapippalīmūlaviḍaṅgasāraṃ mustājamodāmaradārubilvam||43||  kaliṅgakāścitrakamūlapāṭhe yaṣṭyāhvayaṃ sātiviṣaṃ palāṃśam|  sahiṅgukarṣaṃ tvaṇuśuṣkacūrṇaṃ droṇaṃ tathā mūlakaśuṇṭhakānām||44||  syādbhasmanastat salilena sādhyamāloḍya yāvadghanamapradagdham|  styānaṃ tataḥ kolasamāṃ tu mātrāṃ kṛtvā suśuṣkāṃ vidhinopayuñjyāt||45||,"Ksharagudika : Take 40 gm fine powder each of svarajjikā and yava-kshara, four varieties of salt, iron bhasma, trikatu, triphala, pippalimula, pealed seeds of vidanga, mustaka, ajamodā, devadāru, bilva, indrayava, root of chitraka, pāthā, ativishā and liquorice; 10 gm of asafetida and 1.024 Kg of dried radish and dried ginger. Add water to it and heat the mixture till it becomes thick taking care that it should not seared and from it make pills of 5 gm each and dry them.   "
1219,plīhodaraśvitrahalīmakārśaḥpāṇḍvāmayārocakaśoṣaśophān|  visūcikāgulmagarāśmarīśca saśvāsakāsāḥ praṇudet sakuṣṭhāḥ||46||  iti kṣāraguḍikā,"Properly administered Ksharagudika pills cure splenomegaly, leukoderma, halimaka (greenish coloration of the skin), piles, anemia, anorexia, emaciation, edema, gastroenteritis, gulma, synthetic poisoning, lithiasis, dyspnea, cough and dermatosis. Thus ksharagudika is described [43-46]"
1220,prayojayedārdrakanāgaraṃ vā tulyaṃ guḍenārdhapalābhivṛddhyā|  mātrā paraṃ pañcapalāni māsaṃ jīrṇe payo yūṣarasāśca bhaktam||47|| gulmodarārśaḥśvayathupramehāñ śvāsapratiśyālasakāvipākān|  sakāmalāśoṣamanovikārān kāsaṃ kaphaṃ caiva jayet prayogaḥ||48||,"Mix equal quantity of jaggery and ginger and take it in 20 gm dose initially and then increase its dose by 20 gm daily till the dose becomes 200 gm per day. Then this dose is to be continued for the remaining days of the month. During this treatment, on digestion of the drug, rice gruel and milk or meat soup should be given to eat.    The one month course cures gulma, udararoga, piles, edema, polyuria, dyspnea, coryza, cough, alasaka, indigestion, jaundice, consumption, mental disorders and kapha disorders [47-48]"
1221,rasastathaivārdrakanāgarasya peyo'tha jīrṇe payasā'nnamadyāt|  jatvaśmajaṃ [13] ca triphalārasena hanyāttridoṣaṃ śvayathuṃ prasahya||49||  iti śilājatuprayogaḥ,Similarly juice of ginger may be taken with shilajatu for one month in the doses and manner mentioned above. On getting the hunger food should be taken with milk.  A month’s course of shilājatu with juice of triphalā will completely cure the edema/swelling caused by all the three dosha. Thus course of shilājatu is described [49]
1222,dvipañcamūlasya pacet kaṣāye kaṃse'bhayānāṃ ca śataṃ guḍasya|  lehe susiddhe'tha vinīya cūrṇaṃ vyoṣaṃ trisaugandhyamuṣāsthite ca||50||  prasthārdhamātraṃ madhunaḥ suśīte kiñcicca cūrṇādapi yāvaśūkāt|  ekābhayāṃ prāśya tataśca lehācchuktiṃ nihanti śvayathuṃ pravṛddham||51||  śvāsajvarārocakamehagulmaplīhatridoṣodarapāṇḍurogān|  kārśyāmavātāvasṛgamlapittavaivarṇyamūtrānilaśukradoṣān||52||  iti kaṃsaharītakī,"Make 2.56 liter decoction of dashamula and add to it haritaki 100 in number and 4.0 kg of jaggery and powder of trikatu and trijata (three aromatics- leaves and bark of cinnamon and cardamom). Leave it overnight and next morning on cooling adds 320 gm of honey and little quantity of yavakshara.   Take it in the dose of 10 gm along with one haritaki. It will cure  severe edema and also dyspnea, fever, anorexia, polyuria, gulma, splenic-disorders, sannipātika-udararoga, anemia, emaciation, rheumatoid arthritis, bleeding disorders, hyperchlorhydria, discoloration of skin and vata disorders of urine and semen. Thus kaṁsaharītakī is described [50-52]"
1223,paṭolamūlāmaradārudantītrāyantipippalyabhayāviśālāḥ|  yaṣṭyāhvayaṃ tiktakarohiṇī ca sacandanā syānniculāni dārvī||53||  karṣonmitaistaiḥ kvathitaḥ kaṣāyo ghṛtena peyaḥ kuḍavena yuktaḥ|  vīsarpadāhajvarasannipātatṛṣṇāviṣāṇi śvayathuṃ ca hanti||54||,"Make decoction of 10 gm each of roots of patola, devadāru, danti, trāyamānā, pippali, haritaki, indrāyana, liquorices, sandal wood, katukā, dāruhridrā and samudraphala. This decoction should be taken with 160 gm of ghee. It cures visarpa (erysipelas), burning sensation, fever, sannipāta thirst, poisoning and edema [53-54]"
1224,sacitrakaṃ [14] dhānyayavānyajājīsauvarcalaṃ tryūṣaṇavetasāmlam|  bilvāt phalaṃ dāḍimayāvaśūkau sapippalīmūlamathāpi cavyam||55||  piṣṭvā'kṣamātrāṇi jalāḍhakena paktvā ghṛtaprasthamatha prayuñjyāt|  arśāṃsi gulmaṃ śvayathuṃ  kṛcchraṃ nihanti vahniṃ ca karoti dīptam||56||,"Make paste of 10 gm each of chitraka, coriander, ajawan, cumin, sauvarchala-salt, trikatu, amlavetasa, bilva, pomegranate, yavakṣāra, pippalimula and chavya; add to it 640 gm of ghee and 2.56 liter of water. Prepare ghrita as per sneha pāka method.   Oral administration of chitraka ghee cures edema/swelling even if it is difficult to cure as well as piles and gulma and stimulate the digestion and metabolism (agni). [55-56]"
1225,pibedghṛtaṃ vā'ṣṭaguṇāmbusiddhaṃ sacitrakakṣāramudāravīryam|  kalyāṇakaṃ vā'pi sapañcagavyaṃ tiktaṃ mahadvā'pyatha tiktakaṃ vā||57||,Prepare a ghrita with eight times of water with paste of chitraka and yavakshara. It has great potency. The patient may also take the kalyānaka ghrita or panchagavya ghrita or mahātikta ghrita or tikta ghrita [57]
1226,kṣīraṃ ghaṭe citrakakalkalipte dadhyāgataṃ sādhu vimathya tena|  tajjaṃ ghṛtaṃ citrakamūlagarbhaṃ takreṇa siddhaṃ śvayathughnamagryam||58||  arśo'tisārānilagulmamehāṃścaitannihantyagnibalapradaṃ [15] ca|  takreṇa cādyāt saghṛtena tena bhojyāni siddhāmathavā yavāgūm||59||  iti citrakaghṛtam,"Put milk in a pot coated with paste of chitraka and curdle it. Churn this curd well to get butter which is heated to ghee. Add to the ghee all the buttermilk (which contains mixed chitraka also) from the pot and prepare the medicated ghrita. It is best to cure edema. It also provides relief in piles, diarrhea, vata-gulma, polyuria and stimulates digestion and metabolism (agni).   During the treatment the diet should be taken with buttermilk prepared as above with chitraka along with ghee prepared from the above butter or gruels prepared with this butter milk and ghee. Thus chitraka ghrita is described [58-59]"
1227,jīvantyajājīśaṭipuṣkarāhvaiḥ sakāravīcitrakabilvamadhyaiḥ|  sayāvaśūkairbadarapramāṇairvṛkṣāmlayuktā ghṛtatailabhṛṣṭā||60||  arśo'tisārānilagulmaśophahṛdrogamandāgnihitā yavāgūḥ|  yā pañcakolairvidhinaiva [16] tena siddhā bhavet sā ca samā tayaiva||61||,"Take 5 gm each of jivanti, cumin, saṭi, pushkarmula, karvi (celery), chitraka, bilva and  yavakashara, make a medicated gruel (yavāgu) and then fry it in ghee and oil. This gruel taken by adding vrikshamla cures piles, diarrhea, vata gulma, edema, heart disease and low digestion.   The medicated yavāgu (gruel) similarly prepared with panchakola also gives the same relief as mentioned above (60-61)."
1228,kulatthayūṣaśca sapippalīko maudgaśca satryūṣaṇayāvaśūkaḥ|  rasastathā viṣkirajāṅgalānāṃ sakūrmagodhāśikhiśallakānām||62||  suvarcalā gṛñjanakaṃ paṭolaṃ savāyasīmūlakavetranimbam|  śākārthināṃ śākamiti praśastaṃ bhojye purāṇaśca yavaḥ saśāliḥ||63||,"Followings diet articles are wholesome for the patient of edema/swelling:  Soup of kulattha mixed with long piper Soup of munga mixed with trikatu and yavakshara Meat soup of gallinaceous and wild creatures, Meat soup of tortoise, iguana, peacock and pangolin, Vegetables such as heliotrope, turnip, makoya (wild snake gourd), radish, vetra, neem and patola Old shali rice and old barley [62-63]"
1229,ābhyantaraṃ bheṣajamuktametadbarhirhitaṃ yacchṛṇu tadyathāvat|  snehān pradehān pariṣecanāni svedāṃśca vātaprabalasya kuryāt||64||,"Thus internal preparations have been described. Now external preparations beneficial for the patient of swelling will be described. Snehana, swedana, smearing with pastes and effusions should be done in a patient having dominance of vata swelling [64]"
1230,śaileyakuṣṭhāgurudārukauntītvakpadmakailāmbupalāśamustaiḥ|  priyaṅguthauṇeyakahemamāṃsītālīśapatraplavapatradhānyaiḥ||65||  śrīveṣṭakadhyāmakapippalībhiḥ spṛkkānakhaiścaiva yathopalābham|  vātānvite'bhyaṅgamuśanti tailaṃ siddhaṃ supiṣṭairapi ca pradeham||66||,"Take kuṣṭha, aguru, devadāru, kaunti, cinnamon, padmaka, cardamom, sugandhabālā, palāśa, mustaka, priyangu, thauneyaka, nāgakeśara, jatāmāmsi, tālisapatra, plava, tejapatra, coriander, sriveshtaka, dhyāmaka, piper longum, sprikkā and nakha. Make paste of all or as much as drugs available and prepare medicated oil from it. In vata edema, do massage with this oil. Alternatively make paste of the entire drugs and apply on the body of the patient as smear [65-66]"
1231,jalaiśca vāsārkakarañjaśigrukāśmaryapatrārjakajaiśca  siddhaiḥ|  svinno mṛdūṣṇai  ravitaptatoyaiḥ snātaśca gandhairanulepanīyaḥ||67||,"Add leaves of vāsā, arka, karanja, sigru, kashmarya and holy basil in hot water and take sudation with this tolerably hot water. Then the patient should take bath with water heated in sun and apply aromatics on the body [67]"
1232,savetasāḥ kṣīravatāṃ drumāṇāṃ tvacaḥ samañjiṣṭhalatāmṛṇālāḥ|  sacandanāḥ padmakavālakau ca paitte pradehastu satailapākaḥ||68||  āktasya tenāmbu raviprataptaṃ sacandanaṃ sābhayapadmakaṃ ca|  snāne hitaṃ kṣīravatāṃ kaṣāyaḥ kṣīrodakaṃ candanalepanaṃ ca||69||,"Prepare medicated oil from vetasa, manjiṣhthā, mrināla, sandal, padmaka and khasha and bark of latex-exuding plants. Apply this oil on the body to relieve pitta swelling. Thereafter, bathing with medicated water prepared with sandal, khaśa and padmaka and heated by sun rays or with water prepared with latex-exuding plants or water mixed with milk is beneficial. Smearing with paste of sandalwood is also beneficial [68-69]"
1233,kaphe tu kṛṣṇāsikatāpurāṇapiṇyākaśigrutvagumāpralepaḥ|  kulatthaśuṇṭhījalamūtrasekaścaṇḍāgurubhyāmanulepanaṃ ca||70||,"In kapha dominant edema, application of paste of long pepper, sand, old oil-cake, bark of drum-stick and linseed is advised.  Effusion with decoction of kulattha (hoarse gram), dry ginger and cow’s urine followed by anointing of the body with paste of sandal and aguru is also beneficial (70)."
1234,bibhītakānāṃ phalamadhyalepaḥ sarveṣu dāhārtiharaḥ pradiṣṭaḥ|  yaṣṭyāhvamustaiḥ sakapitthapatraiḥ sacandanaistatpiḍakāsu lepaḥ||71||,"In all types of swelling, smearing with paste of fruit of vibhitaka is recommended to cure burning sensation and discomfort.  The topical application of paste of leaves of kapittha (wood apple), sandal, liquorices and mustaka provides relief in papules [71]"
1235,rāsnāvṛṣārkatriphalāviḍaṅgaṃ śigrutvaco mūṣikaparṇikā ca|   nimbārjakau vyāghranakhaḥ sadūrvā suvarcalā tiktakarohiṇī ca||72||  sakākamācī bṛhatī sakuṣṭhā punarnavā citrakanāgare ca|  unmardanaṃ śophiṣu mūtrapiṣṭaṃ śastastathā mūlakatoyasekaḥ||73||,"Take rāsnā, vāsā, arka, triphalā, vidanga, bark of sigru, mushakaparni, neem, holy basin, nails of vyāghra (shell), durvā, sunflower, katukā, kākamāchi, brihati, kuṣtha, punarnavā, chitraka and dry ginger and make paste with cow’s urine. Unmardana type of massage with it is beneficial for swelling. Also effusion done with water boiled with above drugs is beneficial [72-73]"
1236,śophāstu gātrāvayavāśritā ye te sthānadūṣyākṛtināmabhedāt|  anekasaṅkhyāḥ  katicicca teṣāṃ nidarśanārthaṃ gadato nibodha||74||,"The swelling occurring in one limb or organ is of many types owing to their different classifications based on involved site, duṣhya, shape and name. Listen to the descriptions of some of them being given as illustration [74]"
1237,doṣāstrayaḥ svaiḥ kupitā nidānaiḥ kurvanti śophaṃ śirasaḥ sughoram| antargale ghurghurikānvitaṃ ca śālūkamucchvāsanirodhakāri||75||,"All the three dosha, provoked by indulging in their etiological factors produce severe inflammation of head.  When it affects inside of the throat, it produces sālūka, which is accompanied with stertorous breathing and obstruction to expiration [75]"
1238,galasya sandhau cibuke gale ca sadāharāgaḥ śvasanāsu  cograḥ|  śopho bhṛśārtistu biḍālikā  syāddhanyādgale cedvalayīkṛtā sā||76||,Acute swelling at the junction of throat behind the chin i.e. in trachea with redness and burning sensation in throat and causes obstruction to breathing with very much discomfort is known as biḍālikā. It kills the patient if folds are formed in throat [76]
1239,syāttāluvidradhyapi dāharāgapākānvitastāluni sā tridoṣāt|  jihvopariṣṭādupajihvikā syāt kaphādadhastādadhijihvikā ca||77||,"Abscess in palate caused by tridosha with burning sensation, redness and pus formation is known as tālu-vidradhi.   Swelling due to kapha occurring on the upper part of tongue is called upajihvikā (acute superficial glossitis) and which occurs sublingual part is called adhijihvikā (sub lingual glossitis) [77]"
1240,yo dantamāṃseṣu tu raktapittāt pāko bhavet sopakuśaḥ pradiṣṭaḥ|  syāddantavidradhyapi dantamāṃse śophaḥ kaphācchoṇitasañcayotthaḥ||78||,Provoked rakta and pitta causes suppuration of the gums and it is called upakusha. Accumulation of kapha and rakta produces elevated swelling in gums and it is known as danta-vidradhi [78]
1241,galasya pārśve galagaṇḍa ekaḥ syādgaṇḍamālā bahubhistu gaṇḍaiḥ|  sādhyāḥ smṛtāḥ pīnasapārśvaśūlakāsajvaracchardiyutāstvasādhyāḥ||79||,"Single glandular swelling on the (middle) of neck is called galagaṇḍa (goiter) but if there are many nodular swellings making a chain like appearance, is known as gandamālā. Generally they are curable but if accompanied with coryza, pain in side of the chest, cough, fever and vomiting then they are incurable [79]"
1242,teṣāṃ sirākāyaśirovirekā dhūmaḥ purāṇasya ghṛtasya pānam|  syāllaṅghanaṃ vaktrabhaveṣu cāpi pragharṣaṇaṃ syāt kavalagrahaśca||80||,"In all the above mentioned conditions blood-letting, purgation, nasya, dhuma (medicated smoking therapy) and intake of old ghee is beneficial.   For the conditions specially affecting mouth, the line of treatment is langhana and rubbing with medicated powders and mouth washes (kavala) are beneficial [80]"
1243,aṅgaikadeśeṣvanilādibhiḥ syāt svarūpadhārī sphuraṇaḥ sirābhiḥ|  granthirmahānmāṃsabhavastvanartirmedobhavaḥ snigdhatamaścalaśca||81||,Swelling occurring in one organ or region due to vata or other dosha may be diagnosed on the basis of their characteristic symptoms. The swelling occurring in vessels are pulsating in nature. The nodular swelling occurring in muscles is large in size. Swelling of the adipose tissues is excessively unctuous and movable [81]
1244,saṃśodhite sveditamaśmakāṣṭhaiḥ sāṅguṣṭhadaṇḍairvilayedapakvam|  vipāṭya coddhṛtya bhiṣak sakośaṃ śastreṇa dagdhvā vraṇavaccikitset||82||,"If the tumor is non-suppurative then after purification therapy, local sudation of the swelling should be done. Then the physician should try to dissolve the swelling by rubbing with stone or wooden apparatus or with manipulation of thumb or of a rod. Then it should be cut open and take out the tumor with its capsule. Then it should be cauterized and treatment of regular wound should be adopted [82]"
1245,adagdha īṣat pariśeṣitaśca prayāti bhūyo'pi śanairvivṛddhim|  tasmādaśeṣaḥ kuśalaiḥ samantācchedyo bhavedvīkṣya śarīradeśān||83||  śeṣe kṛte pākavaśena śīryāttataḥ kṣatotthaḥ prasaredvisarpaḥ|  upadravaṃ taṃ pravicārya tajjñastairbheṣajaiḥ  pūrvatarairyathoktaiḥ||84||  nivārayedādita  eva yatnādvidhānavit svasvavidhiṃ vidhāya|  tataḥ krameṇāsya yathāvidhānaṃ vraṇaṃ vraṇajñastvarayā cikitset||85||,If the tumor is not properly cauterized or if some of its part is left out then it starts gradually increasing again. In that case it should be removed completely by opening from all sides by the skillful surgeon keeping in view the regional anatomy. If some portion is still left then it may suppurate and slough and may lead to complication of visarpa (erysipelas). The surgeon considering it as the severe complication first should try to treat it with great care by appropriate remedies described earlier. Therefore the wound specialist should quickly treat it in the prescribed manner following the appropriate line of treatment [83-85]
1246,vivarjayet kukṣyudarāśritaṃ ca tathā gale marmaṇi saṃśritaṃ ca|  sthūlaḥ kharaścāpi bhavedvivarjyo yaścāpi bālasthavirābalānām||86||,"The tumors occurring in flanks, abdomen, in the throat and in vital organs are incurable. Similarly tumors of big size and indurated which occurs in children, aged and weak are also incurable [86]"
1247,granthyarbudānāṃ ca yato'viśeṣaḥ pradeśahetvākṛtidoṣadūṣyaiḥ|  tataścikitsedbhiṣagarbudāni vidhānavidgranthicikitsitena||87||,"There is no much difference in nodules and tumors with regards to site, causative factors, shape, dosha morbidity and dushya (susceptible tissues). Therefore, tumor specialist should treat the tumor on the line of nodules described above [87]"
1248,tāmrā saśūlā  piḍakā bhavedyā sā cālajī nāma parisrutāgrā|  śopho'kṣataścarmanakhāntare  syānmāṃsāsradūṣī bhṛśaśīghrapākaḥ||88||,Appearing of copper colored papules with acute pain from which pus oozes out is known as alajī. The severe inflammation occurring by vitiating flesh and blood in the skin adjoining nail which suppurates quickly is known as akṣata [88]
1249,jvarānvitā vaṅkṣaṇakakṣajā yā vartirnirartiḥ kaṭhināyatā ca|  vidārikā sā kaphamārutābhyāṃ teṣāṃ yathādoṣamupakramaḥ syāt||89||  visrāvaṇaṃ piṇḍikayopanāhaḥ pakveṣu caiva vraṇavaccikitsā|,"Painless cylindrical and hard swelling in the groin or axillary region accompanied with fever is known as vidārikā. It occurs due to vitiation of kapha and vata and should be managed according to the treatment of these dosha, which include bloodletting, pinda sweda, upanāha and on suppuration it should be treated on the line of abscess [89]"
1250,visphoṭakāḥ sarvaśarīragāstu sphoṭāḥ [27] sarāgajvaratarṣayuktāḥ||90||,Red colored eruptions occurring all over the body along with fever and thirst are known as visphōṭaka (90).
1251,yajñopavītapratimāḥ prabhūtāḥ pittānilābhyāṃ janitāstu kakṣāḥ [28] | yāścāparāḥ syuḥ piḍakāḥ prakīrṇāḥ sthūlāṇumadhyā api pittajāstāḥ||91||,"Multiple eruptions occurring on the trunk due to pitta and vata where usually Hindu holy thread is worn, is known as kakṣā.   Other such types of eruptions (pidikā) whether big, medium or small are also due to pitta [91]"
1252,kṣudrapramāṇāḥ piḍakāḥ śarīre sarvāṅgagāḥ sajvaradāhatṛṣṇāḥ|  kaṇḍūyutāḥ sārucisaprasekā romāntikāḥ pittakaphāt pradiṣṭāḥ||92||,"Small sized eruption all over the body due to pitta and kapha along with fever, burning sensation, thirst, itching, anorexia and salivation are known as romāntikā (measles) [92]"
