id,original_trans,translation
1523,"Five types of hikka and shwasa, based on etiology, signs, symptoms and treatment are being elaborated here, listen to them carefully:  Environmental factors: Dust, smoke and wind, residing in cold place, use of cold water. Regimen:  Lack of exercise, excessive sexual intercourse, excess walking, Diet: Intake of dry food, vishamashana (food in excessive or less quantity at irregular time) Conditions: Accumulation of ama, anaha (constipation associated with flatulence), dryness in the body, excessive depletion (apatarpana), weakness, injury to marmas (vital points), rapid change in exposure to heat and cold, diarrhea, fever, vomiting, rhinitis, kshata (injury), kshaya (wasting), raktapitta (bleeding disorder), udavarta (upward movement of vata), visuchika (enteritis), alasaka (sluggish bowel), pandu (anemia) and intake of poisons can result in hikka and shwasa. Diet: Regular intake of nishpava (beans), masha (black gram), pinyaka (oil cake), tila taila (sesame oil), pishta (cakes and pastry), shaluka (lotus stem), vishtambhi anna (food aggravating vata), vidahi (food causing burning sensations), heavy to digest food, flesh of aquatic and marshy animals, curd, raw milk, abhishyandhi (ingredients leading to obstruction of channels), food aggravating kapha Injury: Injury to throat and chest Others: Various types of vibandha (obstructions)  [10-16]","The ancient medical science of Ayurveda identifies five causes of hikka (hiccups) and shwasa (labored breathing): etiology, regimen, conditions, diet, injury, and others. Environmental factors such as dust, smoke, and wind, or residing in cold places and using cold water can contribute to these conditions. Additionally, lifestyle choices like lack of exercise, excessive sexual intercourse, and overexertion can also lead to hikka and shwasa. Diet plays a crucial role, with certain foods such as beans, black gram, oil cake, and sesame oil being named as potential causes, as well as irregular eating habits and consumption of hard-to-digest or heavy food. Injuries to the throat and chest, obstructions, and ingestion of toxins are other factors that can result in these conditions. It is important to note that accumulation of ama (toxins) and anaha (constipation associated with flatulence), as well as certain medical conditions such as diarrhea, fever, and vomiting, can also contribute to hikka and shwasa."
1524,By the above mentioned etiological factors the vata gets aggravated in the pranavahasrotas ( channels carrying prana) and deranges the kapha situated in the chest region producing lethal blockage of pranavayu and five types of dreadful hikka and shwasa. [17-18],"In accordance with the aforementioned causes, the vata dosha experiences aggravation within the pranavahasrotas, the channels responsible for carrying prana. This disturbance leads to kapha derangement in the chest region, resulting in a dangerous obstruction of pranavayu. Consequently, five varieties of fearsome hiccups (hikka) and breathlessness (shwasa) emerge, posing significant health concerns for the individual."
1525,"Following are the premonitory symptoms of both the diseases:  Heaviness in throat and chest, astringent taste in mouth, and distension of abdomen are the premonitory symptoms of hikka.   Anaha (constipation with flatulence), pain in the flanks, pain in the cardiac region, abnormal movement of pranavayu are the premonitory symptoms of shwasa.[18-20]","The Sanskrit text describes the early signs of two afflictions: hikka and shwasa. In the case of hikka, one may experience a heaviness in the throat and chest, coupled with an astringent taste in the mouth and a distended abdomen. On the other hand, shwasa is preceded by symptoms such as constipation with flatulence, discomfort in the flanks, pain in the cardiac region, and irregularities in the movement of pranavayu. Understanding these premonitory symptoms can aid in early intervention and treatment of these conditions, according to the ancient Indian medical system of Ayurveda."
1526,"Vishesha samprapti: Vata along with kapha blocks the channels carrying prana, udaka and anna and produces hikka. A List of the signs and symptoms of many types is elaborated further:   Mahahikka: Vata along with kapha affects the throat of an individual whose mamsa dhatu (muscles), strength, prana and agni are depleted. It further produces remarkably loud and resonant hiccups occurring in bouts of two or three constantly. The blockage of pranavaha srotas (channels carrying prana). Vayu along with aggravated kapha obstructs the pranavaha srotas and marma jatharagni resulting in loss of consciousness, stiffness in the body and also obstructs the channels of food and drinks. There is impairment of memory, tears in the eyes and stiffness in the temples and displacement of eyebrows. He suffers from delirium along with obstruction of speech, which does not get relief by any means. Maha hikka is mahamula (deep rooted), mahavega (massive attack), mahashabda (very loud sound), maha bala (very strong). This can lead to death immediately, hence named as mahahikka. [21-26]","In the context of Ayurvedic medicine, ""Vishesha samprapti"" refers to the specific progression of a disorder. Of particular interest is the condition known as ""mahahikka,"" which manifests as severe and persistent hiccups. This occurs when both vata and aggravated kapha obstruct the pranavaha srotas, or channels carrying prana, and marma jatharagni, leading to a range of symptoms. These may include loss of consciousness, stiffness in the body, impaired memory, tears in the eyes, and stiffness in the temples. The hiccups themselves are described as remarkably loud and occurring in bouts of two or three constantly. This debilitating condition is considered deep-rooted, massive, and characterized by a very loud sound, making it extremely dangerous and potentially fatal."
1527,"Excessive aggravation of kapha and vayu in an aged, emaciated and mentally depressed individual leads to hikka. This hikka is characterised by deep and resonant sound, and affliction of the chest. He yawns, contracts and expands his body, and while respiring he contracts both the flanks making murmuring sounds, and suffers from stiffness and pain. In such a patient the hikka arises from the umbilicus or pakvashaya (intestines) with pain all over the body. During this time his body bends and he suffers from black outs, obstruction in the respiratory tract and loss of strength and unconsciousness. Such hikka is known as gambhira hikka which ultimately results in death. [27-30]","Hikka, a term used in Ayurveda to describe a type of abnormal breathing, can have serious consequences for certain individuals. According to Charaka Samhita, an ancient Indian medical text, hikka that is characterized by a deep and resonant sound, chest affliction, yawning, and body stiffness can occur in elderly, thin, and mentally depressed people who have an excess of kapha and vayu. This type of hikca, known as gambhira hikca, originates from the umbilicus or intestines, causing pain throughout the body, leading to fainting spells, respiratory tract obstruction, loss of consciousness, and ultimately death."
1528,"The vyapeta hikka produced after the intake of four types of food (i.e. eatable, chewable, drinkable, lickable) and gets aggravated after food gets digested. He suffers from delirium, vomiting, diarrhea, thirst and unconsciousness. There is yawning, watering of eyes, dryness of mouth and bending of the body, and adhmana (distension of the abdomen). This hikka originates from the root of the clavicle and attack is not continuous. Hikka is injurious to life. [31-33]","In the ancient Sanskrit text, the term ""vyapeta hikka"" refers to a specific type of hiccup that occurs after the consumption of various types of food - those that are eatable, chewable, drinkable, and lickable. The condition becomes further aggravated once the food gets digested, leading to severe symptoms such as delirium, vomiting, diarrhea, extreme thirst, and even unconsciousness. Other symptoms include yawning, watering of eyes, dryness of mouth, and bending of the body, accompanied by a distension of the abdomen known as adhmana. Interestingly, this type of hiccup is said to originate from the root of the clavicle, and its attacks are not continuous. Most significantly, vyapeta hikka is considered injurious to life, making it a critical medical condition in need of immediate attention and treatment."
1529,"The vayu gets slightly aggravated in the koshtha (alimentary tract), due to the physical exercises and reaches the throat and produces kshudra hikka. This does not produce much pain and does not afflict the head and vital parts (hridaya marma). In this type of hikka, the doshas do not reside or get lodged in the channels of respiration, food and drinks. This gets aggravated on exertion and subsides on taking food. Hikka gets subsided by itself also. The doshas are situated in cardiac region, kloma, throat and palate. This mild form of hikka is curable and known as kshudra hikka. [35-37]","In the context of Ayurvedic medicine, a mild form of hiccups, known as ""kshudra hikka,"" occurs when the vayu, or air, in the alimentary tract becomes slightly agitated due to physical exertion. This aggravation results in subtle hiccups, which do not cause significant pain or affect the head and vital organs, such as the heart (hridaya marma). Unlike other forms of hiccups, kshudra hikka does not involve the lodging of doshas, or bodily humors, in the respiratory, food, or drink channels. Instead, these doshas reside in the cardiac region, kloma, throat, and palate. This mild form of hiccups tends to escalate with further exertion but typically subsides on its own or after eating. Thanks to its benign nature and lack of complications, kshudra hikka is considered curable in Ayurvedic practice."
1530,"The vayu gets aggravated and moves in the upward direction due to the intake of excess food or drinks in hurry or excess of alcohol, anger, talking, laughing, weightlifting etc. factors aggravate vayu in koshtha (alimentary tract) gets afflicted by food and drinks and move in the upward direction and get lodged in channels of chest and produce annaja hikka. This hikka occurs slowly and intermittently along with sneezing. The hikka that does not afflict vital points (marma) and organs and it subsides after drinking water or taking food is known as annaja hikka.[38-41]","In the ancient science of Ayurveda, it is believed that the balance of bodily humors, or doshas, is essential for optimal health. The vayu, or air, dosha can become aggravated due to a variety of factors, including excessive or hurried food and drink intake, alcohol consumption, anger, and physical exertion such as weightlifting. When this occurs, the digestive system becomes afflicted, causing food and drinks to move in the wrong direction, upward through the alimentary tract, and becoming lodged in the chest's channels. This blockage results in a specific type of hiccup, known as ""annaja hikka,"" which is characterized by slow, intermittent occurrences accompanied by sneezing. However, this type of hiccup does not affect vital points or organs and typically subsides after drinking water or eating food."
1531,"The hikka destroys a person suffering from excessive accumulation of dosha, emaciated due to fasting, emaciated due to disease, weak due to ageing or excessive indulgence in sex. The symptoms of delirium, pain, excess thirst and stupor in yamika hikka patient make it incurable for treatment.   The yamika hikka is curable in an individual who is not emaciated, not weak mentally, the dhatu and indriya are unaffected and performing their normal function. Otherwise in case if body is weak, it is incurable. [42-44]","The Sanskrit verse sheds light on the concept of 'hikka' in traditional Ayurvedic medicine, which refers to a condition of delirium and excess thirst. This ailment is particularly detrimental for those who are already weakened by fasting, illness, or old age, or who have engaged in excessive sexual activity. The symptoms of yamika hikka, including delirium, pain, thirst, and stupor, make it resistant to treatment. However, in individuals who are physically and mentally strong, with healthy bodily tissues and functioning senses, this condition can be cured. Conversely, if the body is too weakened, the hikka remains untreatable."
1532,"The aggravated vayu along with vitiated kapha obstructs the channels (of prana, udaka and annavaha) and spreads throughout the body and produces shwasa. [45]","In the context of health and wellness, it is important to understand the implications of a disturbance in the balance of the body's vital energies. According to Ayurvedic teachings, when vayu (the energy associated with movement) becomes aggravated and combines with vitiated kapha (the energy associated with growth and lubrication), it can lead to an obstruction in the channels through which prana (life force), udaka (water), and annavaha (nutrients) flow. This blockage allows the excess vayu to spread throughout the body, leading to the manifestation of shwasa, or troubled breathing. It is crucial to address this imbalance in order to maintain optimal health and well-being."
1533,"The patient breathes with a loud noise during the night due to the upward movement of aggravated vayu like intoxicated bull. The vayu gets obstructed and the person becomes unconscious. The eyes get distorted and he cannot visualize properly. The eyes and face become abnormal and the elimination of urine and feces is obstructed and the voice becomes feeble and the person looks tired and respiration could be heard from distance, such person suffering from mahashwasa succumbs to death very fast. [46-48]","According to ancient Sanskrit texts, a patient experiencing ""mahashwasa"" faces a rapid decline in health. The condition is characterized by loud, labored nighttime breathing that resembles the stumbling gait of an intoxicated bull. This aggravated vayu, or life force, becomes obstructed and rises upward, leading to unconsciousness and distorted vision. Additionally, the patient's eyes and face become abnormal, urination and defecation are hindered, and their voice grows weak. The respiratory system becomes impaired, with audible breathing from a distance, and the individual appears tired and fatigued. Ultimately, this severe breathing disorder proves fatal at a rapid pace."
1534,"The vitiated kapha obstructs channels of respiration leading to aggravation of vata resulting in prolonged expiration and shallow inspiration (breath doesn’t get deeply inspired). The patient looks up with moving eye balls as if he is scared of something. When he gets afflicted with this type of shwasa he suffers from unconsciousness, dryness of mouth, restlessness. The upward movement of vayu is aggravated resulting in obstruction of downward movement and unconsciousness, black outs and he succumbs to death quickly. [49-51]","In the ancient medical text of Ayurveda, the Samhitas of Charaka, a profound description is given of certain respiratory conditions, known as shwasa. Of particular interest is the type characterized by the obstruction of the channels of respiration due to an excess of kapha dosha, or phlegm. This obstruction leads to a distinctive pattern of breathing, where expiration is prolonged and inspiration is shallow, with the patient's breath unable to reach its full depth. The individual may present with a frightened appearance, their eyes darting about as if they are startled. If this condition progresses, it can result in unconsciousness, dry mouth, and restlessness. Of note, the aggravation of vayu, or wind, is also described, which hampers its downward movement and further contributes to the onset of unconsciousness and ultimately, death."
1535,"The patient suffering from chhinna shwasa has interrupted breath as the prana(vital centers) [Cha. Sa. Sutra Sthana 29]  is afflicted. There is complete stoppage of breath, such individual suffers from intense pain as if cutting of the marma (vital parts), constipation with abdominal distension, sweating, unconsciousness, burning sensation in basti (bladder and urinary system), excessive tears in the eyes, emaciation of the body, the eyes become red when patient struggles to breath, mental disorientation, dryness of mouth, discoloration of skin, delirium, looseness of joints. An individual suffering from above said features of chhinna shwasa succumbs to death very quickly. [52-54]","Chhinna shwasa, a life-threatening condition according to the Charaka Samhita's Sutra Sthana 29, is characterized by an irregular and interrupted breath. This occurs when the prana, or vital centers of the body, become afflicted. The suffering is immense, with patients feeling as if their vital parts are being cut. Accompanying symptoms include constipation, abdominal distension, sweating, and unconsciousness. A burning sensation in the urinary system, excessive tears, emaciation, red eyes, mental disorientation, dry mouth, skin discoloration, delirium, and loose joints are also indicative of this condition. Those who exhibit these symptoms may face rapid onset of death."
1536,"The vayu moves in the opposite direction due to the obstruction in the respiratory tract, stiffness in the neck, head aggravates the kapha and produces rhinorrhoea, and gurghuraka sound (rhonchi). Exceedingly severe attack afflicts the prana and enhances severity. During severe attack, the patient faints repeatedly, has severe cough and becomes unconscious. The patient finds it difficult to expectorate the phlegm and feels relieved for period of 1 muhurta (3 hours) after expectoration of phlegm. There is hoarseness of voice and patient speaks with difficulty, even he does not get proper sleep, and on lying down he suffers from dyspnea as his flanks are afflicted by vayu. He feels comfortable in the sitting position. He likes hot things. His eye balls are always prominent, there is sweat on the forehead, dryness of the mouth, gets repeated attacks of dyspnea, and it increases and subsides repeatedly. In gets aggravated when appearance of clouds in the sky, rains, cold weather, easterly winds and kapha enhancing food and behavior. The tamaka shwasa having above mentioned features is yapya (palliable) and in the initial stages it is curable disease. [55-62]","According to this ancient Sanskrit text, the condition known as tamaka shwasa presents with a series of specific symptoms. When the respiratory tract becomes obstructed, the vayu, or air element, moves in the opposite direction, leading to a characteristic gurghuraka sound. The head and neck become stiff, and the kapha dosha is aggravated, resulting in a runny nose. The patient experiences severe coughing fits, sometimes even losing consciousness. Hoarseness of voice and difficulty speaking are also common. Sleep is often disturbed, and dyspnea is exacerbated when lying down. Relief comes in the form of expectorating phlegm every three hours. External factors such as cloudy skies, rain, cold weather, easterly winds, and kapha-enhancing foods and behaviors can aggravate the condition. However, with proper care and attention, this early stage of tamaka shwasa is considered curable and palliable."
1537,"In a patient of tamaka shwasa if jwara (fever) and unconsciousness are occurring as complication, then it is called as pratamaka shwasa. The shwasa produced due to udavarta (upward movement of vayu in koshtha), dust, indigestion, excessive liquid accumulation in the body (klinna kaya), and suppression of natural urges results in increase of tama. This gets relieved by following of cooling regimen. The person suffering from this shwasa feels as if he is submerged in darkness, thus it is known as santamaka.[63-64]","Tamaka shwasa, a respiratory disorder, can be complicated by the onset of fever and unconsciousness, a condition known as pratamaka shwasa. This can result from various factors such as udavarta, dust, indigestion, excessive fluid accumulation, and suppressed urges, all of which contribute to an increase in the tama guna. The Yogic philosophy of Sankhya describes three gunas or qualities that make up universal matter - sattva, rajas, and tamas. Tamas is associated with darkness, ignorance, and inertia. In the context of pratamaka shwasa, the person afflicted feels as if they are submerged in darkness, giving this condition its name, santamaka. Cooling regimens have been found to provide relief from symptoms, highlighting the importance of a balanced and holistic approach to managing this respiratory disorder."
1538,"Due to intake of dry food and exertion, vata is mildly vitiated in koshtha and moves in the upward direction i.e respiratory tract resulting in kshudra shwasa. The patient suffering from this type of shwasa does not have any affliction of various body parts and the functions are not affected. It is not very painful as it does not affect the channels of food and drinks nor does it cause pain to the sense organs. This is curable if the symptom is not completely manifested and the patient is strong. Thus all the types of hikka and shwasa are elaborated along with their signs and symptoms.[65-67]","In the context of Ayurvedic medicine, a Sanskrit verse describes the condition known as ""kshudra shwasa,"" which is caused by the mild aggravation of vata in the lower digestive tract due to the consumption of dry food and exertion. This aggravated vata moves upward, affecting the respiratory tract. Despite this disturbance, the individual does not experience afflictions in various body parts or any significant impairment of their functions. The discomfort is relatively minor, as it neither affects the channels of food and drinks nor causes pain to the sense organs. Fortunately, if addressed before fully manifesting and when the patient is strong, this type of shwasa can be treated successfully. This verse provides a comprehensive overview of different types of hikka (hiccups) and shwasa (breathing difficulties), along with their associated signs and symptoms."
1539,"Among them the fatal varieties (like maha hikka, gambhira hikka, vyapeta hikka, maha shwasa, urdhva shwasa, chhinna shwasa are incurable types) should not be treated. While the curable and controllable variety of hikka and shwasa should be treated with medicine quickly. If neglected then it destroys the prana of the patient as the fire burns away the dry grass very fast.[68-69]","In the ancient medical text, it is advised that certain incurable forms of hikka (hiccups) and shwasa (breathing difficulties) such as maha hikka, gambhira hikka, vyapeta hikka, maha shwasa, urdhva shwasa, and chhinna shwasa should not be attempted to treat. On the other hand, those varieties that are curable and manageable through medical intervention should be treated promptly. Neglecting these conditions can have severe consequences, as they can quickly deteriorate and cause harm to the prana (vital energy) of the patient, much like how a fire consumes dry grass in no time."
1540,"The etiological factors, site, origin of both hikka and shwasa are same and hence the treatment is also same. Kindly listen attentively the treatment of hikka and shwasa as known by the seers.   Initially the patient suffering from hikka and shwasa should be treated with massage with combination of rock salt and sesame oil over the chest region followed by administration of unctuous sudation by means of nadi sveda or prastara sveda or sankara sveda. By this the clogged kapha gets liquefied in the channels and the channels become soft and vata moves in the downward direction (vatanulomana). As the ice on the top of the mountain gets liquefied by the rays of the sun, the kapha accumulated in the srotas get liquefied by swedana.  After the administration snehana (oleation) and swedana (sudation), one has to give rice along with unctuous substances. The meat soup prepared from fish or pig or curds in large quantity should be taken in meals. When the kapha gets aggravated due to above mentioned means vamana (emesis therapy) should be administrated with powder of pippali (piper longum Linn), saindhava (rock salt) and honey. While selection of the drugs care should be taken not to administer the vata aggravating drugs. After the expulsion of vitiated kapha the patient feels relieved as the vata gets alleviated and moves in the normal direction as obstructed srotas are cleared. [70-76]","The Sanskrit verse reveals that the root causes, location, and onset of both hikka (hiccups) and shwasa (breathing difficulties) are identical, leading to similar treatment approaches. Ancient seers have recommended a consistent regimen to treat these conditions, starting with a massage using a rock salt and sesame oil mixture on the patient's chest. This is followed by three types of sudation therapies: nadi sveda, prastara sveda, or sankara sveda, which help melt clogged kapha in the channels and soften them, encouraging vata to move downwards.

These initial steps are similar to how the sun melts the ice on a mountain's peak; here, swedana helps liquefy accumulated kapha within the srotas (body channels). Post-oleation (snehana) and sudation (swedana), a diet of rice with unctuous substances should be introduced. Consuming large quantities of fish, pig, or curds soup is encouraged during meals.

Should an aggravation of kapha occur due to the above methods, vamana (emesis therapy) must be administered using pippali (long pepper), saindhava (rock salt), and honey in a powdered form. The choice of medication should carefully avoid increasing vata aggravation. Once vitiated kapha is expelled from the body through this treatment, the patient experiences relief as vata alleviates and normalizes its direction, with cleared obstructed srotas."
1541,"The dosha remaining after the administration of vamana treatment should be expelled by means of dhuma (medicated smoking). The haridra (turmeric), roots of eranda (Ricinus communis Linn), laksha (Ficus Lacor Buch-Ham), manahshila (realgar, an Arsenic compound), jatamansi (Nardostachys jatamansone BC), are powdered properly and wick is prepared. This wick is smeared with ghee and used for medicated smoking.  The barley should be mixed with ghee and used for smoking.   The bee wax, rala (exudate of Shorea robusta Gaertn.) and ghee are kept in inside two mud plates (mallaka samputa). The smoke coming out of it after application of heat should be inhaled for smoking.   Cow’s horn, hair, ligaments are mixed and used for smoking by putting it in dhuma netra. Shyonaka, roots of eranda (Ricinis communis Linn) and kusha (Desmostachya bipinnata Stapf.) should be filled with above mentioned drugs and used as a pipe for smoking. Padmaka (Prunus puddum), guggulu (Commiphora mukul (Hook ex Stocks), agaru (Aquallaria agollacha Roxb) and shallaki (Boswellia serrata Roxb.) are powdered and mixed with ghee and used for smoking. [77-80]","After the Vamana treatment, it is crucial to expel any remaining dosha through medicated smoking or Dhuma. A variety of substances are used in this process, including turmeric, Ricinus communis Linn roots, Ficus Lacor Buch-Ham, realgar, Nardostachys jatamansone BC, and ghee, which are powdered and used to prepare a wick. This wick is then smeared with ghee and utilized for smoking. Additionally, barley mixed with ghee is also used for smoking. Another method involves the use of beeswax, exudate of Shorea robusta Gaertn., and ghee, placed inside two mud plates and heated to produce smoke for inhalation. Furthermore, a pipe made from Cow's horn, hair, ligaments, Shyonaka, Ricinis communis Linn roots, and Kusha grass is filled with the above-mentioned drugs for smoking. Lastly, a mixture of Prunus puddum, Commiphora mukul (Hook ex Stocks), Aquallaria agollacha Roxb., and Boswellia serrata Roxb., powdered and mixed with ghee, is used for smoking."
1542,"The hikka and shwasa patient accompanied with complications like feeble voice, diarrhea, raktapitta (bleeding disorder) should be treated with medicines having properties of sweet, unctuous, and cold. [81]","In the realm of Ayurvedic medicine, ancient texts offer valuable insights for treating specific health conditions. For a patient experiencing hikka (a spasmodic condition) and shwasa (difficulty in breathing) with additional complications such as a feeble voice, diarrhea, and raktapitta (a bleeding disorder), Ayurveda recommends a particular therapeutic approach. Medicines with sweet, unctuous, and cold properties should be administered to manage these symptoms and alleviate the patient's discomfort, as outlined in verse [81] of this revered text. This holistic guidance emphasizes the importance of personalized treatment in Ayurveda, considering the unique needs and ailments of each individual."
1543,"The patient of shwasa and hikka suffering from burning sensation, bleeding, and excessive sweating, depleted dhatu, loss of strength, dryness, and associated with condition of pregnancy or having pitta Prakriti should not be administered swedana(sudation).  In such condition, if it is very essential then mild sudation should be given over chest and throat region for short duration, in the form of parisheka with warm oil or application of warm utkarika (a kind of poultice) mixed with sugar or upanaha(poultice).  Utkarika is prepared with powders of sesame, black gram and wheat are mixed with vatahara sneha and gruel and swedana is done or warm gruel and milk are used for swedana in the form of parisheka.  The patient suffering from fever of recent origin and ama dosha should be treated with ruksha sweda and langhana. Or vamana (emesis) should be induced by administering saindhavalavana (rock salt) and water.   Meal should be taken along with vata alleviating meat soups etc. in condition of aggravation of vata due to excessive vamana. Alleviation of vata should also be done by massage with vatahara drugs which are not cold, nor hot in property.  [82-87]","In the delicate condition of a patient suffering from both shwasa and hikka, accompanied by distressing symptoms such as burning sensations, bleeding, and excessive sweating, it is highly advised to refrain from swedana or sudation treatments. However, in rare cases where it becomes necessary, mild sudation should be carefully administered over the chest and throat region, using warm oil or a poultice mixed with sugar. Practitioners may opt for utkarika, prepared with sesame, black gram, and wheat powders blended with vatahara sneha and gruel. Alternatively, they can use a warm mixture of gruel and milk for parisheka. For patients experiencing fever and ama dosha, ruksha sweda and langhana are recommended, or vamana (emesis) can be induced using saindhavalavana (rock salt) and water. Following excessive vamana, it is essential to consume vata-alleviating meat soups to stabilize the system. Additionally, massage with moderately warm vatahara drugs can help further alleviate vata aggravation in the body [82-87]."
1544,"The patients suffering from hikka and shwasa are of two types i.e. one having strength and other weak. One has aggravation of kapha and other having dryness and vata predominance.   Management of patient having strength: The patient of hikka and shwasa having kapha predominance and strength should be treated with therapeutic emesis and purgation along with wholesome food and regimen. Further alleviation should be done with medicated smoking and administration of lehya etc.    Management of weak patient:The patient having aggravation of vata and weakness, children and elderly hikka, shwasa patients should be managed with vata alleviating medicines and nourishing sneha, soups, and meat soup. [88-90]","In the realm of Ayurvedic medicine, patients suffering from hikka (hiccups) and shwasa (breathing difficulties) are categorized into two groups – those with strength and those who are weak. For those who possess strength and have an excess of kapha, a combination of therapeutic emesis, purgation, wholesome food, and regimen is recommended. Further alleviation can be achieved through medicated smoking and the administration of lehya (a type of Ayurvedic medicine). Conversely, for patients who are weak and have an aggravation of vata, management should focus on vata-alleviating medicines, nourishing sneha (oils), soups, and meat soup. This individualized approach to treatment is at the heart of Ayurvedic medicine and its aim to restore balance to the body and mind."
1545,"If purification therapy is administered in the hikka shwasa patients without aggravation of kapha, in patients contraindicated for swedana or in very weak patients, then the aggravated vayu afflicts marma (vital points) and results in death instantaneously.   Brimhana therapy in hikka shwasa: Strong and sturdy patient with aggravated kapha should be administered with meat soup prepared from aquatic and marshy animals followed by swedana and vamana. Weak patient without aggravation of kapha should be administered brimhana (nourishment therapy). [91-93]","In the context of Ayurvedic medicine, the ancient Sanskrit verse highlights the potential dangers of improper administration of purification therapy for specific patient profiles. For instance, patients suffering from hikka shwasa (a type of respiratory disorder) who also have an imbalance in kapha should not undergo swedana (sudation) and must be carefully monitored during treatment to avoid fatal consequences. Conversely, brimhana therapy, which involves nourishment treatments, is recommended for weak patients without kapha aggravation, while strong patients with excess kapha should consume meat soups from aquatic animals before undergoing sudation and emesis therapies. The precision and customization of these treatments underscore the complexity and sophistication of Ayurvedic medicine."
1546,"Nidigdhikadi yoga: Nidigdhika (Solanum surattense Burm. f), bilva (Aegle marmelos Corr.), karkta (Rhus succedania Linn.), duralabha (Fagonia cretica Linn.), trikanthaka (Tribulus terrestris Linn.), guduchi (Tinospora cordifolia Willd Miers ex Hook f. & Thoms ), chitraka (Plumbago zyelanica Linn.) and kulattha (horse gram- Dolicus lab lab) are taken in equal quantity and boiled in water as yusha and filtered. This filtrate is fried in ghee and taken with pippali (Piper longum Linn.), shunthi (Zingiber officinale Roxb.) and saindhava lavana (rock salt) is conducive to hikka shwasa patients.   Rasnadi yusha: Rasna (Pluchea lanceolata C B Clarke), bala (Sida cordifolia Linn. ), laghupanchamula (Shalaparni- Desmodium gangeticum DC., prishniparni -Uraria picta Desv., Brihati- Solanum Indicum Linn., kanthakari – Solanum surattense Burm. f, gokshura- Tribulus terrestris Linn.) and chitraka (Plumbago zeylanica  Linn.) are taken in equal quantity and boiled with mudga (green gram) and water as earlier described yusha.   Matulungadi yusha: Leaves of matulunga (Citrus medica Linn.), nimba (Azadirachta indica A. Juss), kulaka are taken in equal quantity and mixed with mudga (green gram) and cooked in water as yusha. Further trikatu powder (maricha-Piper nigrum Linn, pippali- Piper longum linn. and shunthi-Zingiber officinale Roxb.) should be added at the time drinking in hikka shwasa patients.   Mudga yusha: Rock salt, yavakshara, seeds of drum stick and maricha (pepper) powder should be added to the already prepared mudga yusha and consumed in hikka shwasa patients.   Yusha prepared from leaves of kasamarda (Senna occidentalis Linn), shobhanjana (drum stick- Moringa oleifera Lam.), and dry radish should also be given in hikka shwasa.   The yusha prepared from juice or decoction of brihati (Solanum indica Linn.) should be mixed with ghee, curd, maricha, pippali and shunthi is conducive in hikka and shwasa disease. Old shali (Oriza sativa Linn.), shashthika (variety of rice maturing in 60 days), godhuma (wheat- Triticum aestivum Linn.), yava (Barley- Hordium vulgare Linn.) are pathya in hikka and shwasa.  Hingvadi yavagu: The yavagu (gruel) prepared from hingu (Ferula narthex Boiss.), sauvarchala (variety of salt), ajaji (Cuminum cyminum Linn.), bida (variety of salt), pushkara (Inula racemosa Hook. f.), chitraka (Plumbago zeylanica Linn.) and karkataka shringi (Rhus succedania Linn.) is beneficial in hikka and shwasa patients.   Dashamuladi yavagu: yavagu prepared from dashamula, shati (Hedychium spicatum Buch Ham.), rasna (Pluchea lanceolata C B Clarke), pippalimula (Piper longum Linn), pushkara (Inula racemosa Hook. f), karkata shringi (Rhus succedania Linn), amalaki (Emblica officinals Gaertn), bharngi (Clerodendrum serratum Linn. Moon.), guduchi (Tinospora cordifolia Wiild Miers ex Hook f. & Thoms), nagara (Zingiber officinale Roxb.) and water alleviates kasa (cough), hridgraha (heart problem), parshvarti (pain in the flanks), hikka (hiccough) and shwasa (dysnea).   Pushkaradi yavagu: Yavagu prepared from pushkara (Inula racemosa Hook f.), shati (Hedychium spicatum Buch Ham.), vyosha (maricha, pippali, shunthi), matulunga (Citrus medica Linn.), amlavetasa (Garcenia morella Desr) and hingu (Ferula narthex Boiss.) should be used in hikka shwasa patient. [94-104]","The ancient Indian practice of preparing medicinal decoctions, known as Yushas, has been used for centuries to treat various ailments, including hikka shwasa or chronic hiccough and dyspnea. These Yushas are prepared using a variety of herbs, fruits, and grains, each with their own unique medicinal properties. For instance, the Nidigdhikadi Yusha utilizes the anti-inflammatory properties of Solanum surattense Burm. f (Nidigdhika) and the expectorant qualities of Tribulus terrestris Linn. (Trikanthaka). Similarly, the Rasnadi Yusha combines the antispasmodic effects of Pluchea lanceolata C B Clarke (Rasna) with the bronchodilator properties of Zingiber officinale Roxb. (Shunthi). These Yushas, when consumed with spices like Piper longum Linn. (Pippali) and rock salt (Saindhava lavana), are believed to provide relief to patients suffering from hikka shwasa."
1547,Drinks in hikka shwasa patients: The patient suffering from hikka shwasa should drink water prepared in dashamula or devadaru (Cedrus deodara (Roxb.) Loud.) or madira (variety of alcohol) on feeling thirst.  ,"In the context of managing hikka shwasa, an ancient Sanskrit text recommends that patients drink specific types of beverages upon experiencing thirst. The three suggested drinks include water boiled with dashamula, a decoction made from cedrus deodara (devadaru), and a type of alcoholic beverage known as madira. These remedies are prescribed to alleviate the symptoms of hikka shwasa, a medical condition characterized by irregular and spasmodic breathing. While alcohol is not typically recommended as a treatment for modern-day respiratory ailments, it is essential to approach ancient medical texts with an understanding of their historical and cultural contexts."
